"index","description","branch_id","location","request_id","rating"
"0","Laundry","63","EMEA","3","4"
"1","Laundry","69","LATAM","6","5"
"2","Meal","44","EMEA","18","4"
"3","Laundry","57","LATAM","19","3"
"4","Meal","1","LATAM","21","4"
"5","Meal","26","LATAM","26","5"
"6","Laundry","34","EMEA","27","4"
"7","Laundry","60","LATAM","35","4"
"8","Meal","21","EMEA","37","4"
"9","Meal","1","LATAM","38","4"
"10","Meal","26","LATAM","41","5"
"11","Laundry","30","EMEA","44","5"
"12","Meal","21","EMEA","51","4"
"13","Laundry","69","LATAM","55","5"
"14","Meal","70","LATAM","63","4"
"15","Meal","23","EMEA","66","5"
"16","Meal","94","EMEA","67","5"
"17","Meal","45","EMEA","69","4"
"18","Meal","11","EMEA","76","4"
"19","Meal","30","EMEA","83","5"
"20","Meal","13","EMEA","84","5"
"21","Meal","14","EMEA","87","4"
"22","Laundry","68","EMEA","91","5"
"23","Meal","34","EMEA","92","5"
"24","Meal","13","EMEA","98","5"
"25","Meal","34","EMEA","102","5"
"26","Meal","7","EMEA","106","3"
"27","Laundry","1","LATAM","116","4"
"28","Meal","64","LATAM","118","3"
"29","Meal","44","EMEA","120","5"
"30","Laundry","72","LATAM","127","5"
"31","Meal","23","EMEA","129","5"
"32","Meal","11","EMEA","130","4"
"33","Meal","37","LATAM","133","4"
"34","Meal","29","EMEA","137","5"
"35","Meal","45","EMEA","138","3"
"36","Meal","26","LATAM","139","5"
"37","Laundry","50","EMEA","144","4"
"38","Meal","27","EMEA","145","3"
"39","Meal","11","EMEA","146","3"
"40","Laundry","75","LATAM","160","4"
"41","Meal","83","EMEA","161","3"
"42","Laundry","82","EMEA","162","5"
"43","Meal","1","LATAM","165","3"
"44","Laundry","60","LATAM","167","3"
"45","Meal","1","LATAM","173","4"
"46","Meal","30","EMEA","174","5"
"47","Laundry","37","LATAM","175","5"
"48","Laundry","94","EMEA","179","5"
"49","Meal","29","EMEA","181","5"
"50","Meal","68","EMEA","182","4"
"51","Meal","23","EMEA","186","5"
"52","Meal","34","EMEA","192","5"
"53","Meal","74","EMEA","197","4"
"54","Meal","29","EMEA","204","5"
"55","Meal","10","EMEA","205","5"
"56","Meal","14","EMEA","206","4"
"57","Laundry","75","LATAM","207","4"
"58","Laundry","29","EMEA","214","5"
"59","Meal","23","EMEA","220","5"
"60","Meal","74","EMEA","223","5"
"61","Laundry","75","LATAM","224","3"
"62","Meal","1","LATAM","225","4"
"63","Meal","10","EMEA","226","4"
"64","Meal","23","EMEA","228","5"
"65","Meal","30","EMEA","230","5"
"66","Laundry","30","EMEA","236","5"
"67","Laundry","82","EMEA","237","5"
"68","Meal","27","EMEA","256","4"
"69","Meal","82","EMEA","260","5"
"70","Meal","60","LATAM","263","4"
"71","Meal","14","EMEA","264","4"
"72","Laundry","37","LATAM","268","5"
"73","Meal","10","EMEA","271","5"
"74","Laundry","83","EMEA","272","3"
"75","Meal","62","EMEA","274","5"
"76","Meal","1","LATAM","276","4"
"77","Laundry","83","EMEA","282","4"
"78","Meal","42","LATAM","300","4"
"79","Meal","30","EMEA","304","4"
"80","Meal","72","LATAM","305","5"
"81","Laundry","60","LATAM","310","4"
"82","Laundry","83","EMEA","313","4"
"83","Laundry","30","EMEA","318","5"
