"index","service_id","branch_id","avg_rating"
"0","2","46","3.78"
"1","4","99","3.83"
"2","1","8","3.64"
"3","1","46","3.81"
"4","3","15","4"
"5","2","35","3.76"
"6","1","1","3.66"
"7","1","57","3.64"
"8","1","41","3.77"
"9","3","57","3.53"
"10","4","64","3.56"
"11","1","11","3.75"
"12","1","9","3.68"
"13","3","53","3.66"
"14","2","31","3.75"
"15","1","5","3.66"
"16","3","88","3.76"
"17","3","96","3.57"
"18","2","43","3.77"
"19","1","76","3.76"
"20","3","1","4"
"21","1","90","4.38"
"22","4","43","3.75"
"23","3","60","3.69"
"24","4","24","4"
"25","4","21","4"
"26","1","92","3.71"
"27","2","81","3.6"
"28","4","100","3.69"
"29","3","11","3.82"
"30","2","93","3.72"
"31","3","4","4"
"32","3","38","3.69"
"33","1","63","3.75"
"34","2","53","3.73"
"35","2","12","3.59"
"36","3","76","3.78"
"37","4","12","4"
"38","3","55","3.63"
"39","1","15","3.65"
"40","2","92","3.69"
"41","1","27","3.74"
"42","4","95","3.67"
"43","3","14","3.75"
"44","3","31","3.59"
"45","2","100","3"
"46","1","52","3.62"
"47","2","9","3.85"
"48","3","63","3.66"
"49","2","57","3.84"
"50","3","29","4.42"
"51","2","14","3.74"
"52","1","96","4"
"53","3","95","3.66"
"54","4","57","3.64"
"55","2","50","3.64"
"56","3","75","3.68"
"57","4","77","3.74"
"58","2","80","3.67"
"59","4","63","3.67"
"60","2","67","3.62"
"61","4","76","3.77"
"62","3","52","3.71"
"63","1","93","3.67"
"64","1","12","3.7"
"65","4","78","3.68"
"66","3","48","3.69"
"67","4","52","3.8"
"68","1","78","3.59"
"69","1","77","3.75"
"70","2","47","3.68"
"71","1","7","3.7"
"72","2","38","3.69"
"73","3","92","3.7"
"74","2","60","3.7"
"75","4","15","4"
"76","3","43","3.77"
"77","1","67","3.57"
"78","4","53","3.75"
"79","2","85","3.6"
"80","1","31","3.69"
"81","1","95","4"
"82","4","32","4"
"83","3","45","3.7"
"84","3","41","3.69"
"85","1","56","3.76"
"86","4","48","3.88"
"87","2","11","3.78"
"88","3","93","3.72"
"89","1","43","3.85"
"90","3","7","4"
"91","1","20","3.68"
"92","2","83","3.7"
"93","4","50","3.57"
"94","4","38","4"
"95","2","27","3.84"
"96","2","24","3.67"
"97","1","48","3.71"
"98","4","56","3.94"
"99","2","97","3.53"
"100","3","50","3.64"
"101","2","5","3.56"
"102","1","14","3.71"
"103","2","52","3.6"
"104","2","86","3.74"
"105","2","87","3.78"
"106","3","77","3.65"
"107","1","39","3.78"
"108","1","35","3.68"
"109","2","48","3.65"
"110","4","96","3.66"
"111","3","39","3.68"
"112","2","7","3.64"
"113","4","92","3.66"
"114","4","27","4"
"115","4","20","3"
"116","3","12","3.83"
"117","2","41","3.68"
"118","4","8","4"
"119","3","24","3.62"
"120","2","78","3.6"
"121","3","97","3.67"
"122","2","96","3.82"
"123","2","17","3.69"
"124","4","83","3.81"
"125","3","78","3.74"
"126","3","3","4"
"127","4","35","4"
"128","1","97","3.5"
"129","1","81","3.82"
"130","4","60","3.69"
"131","1","86","3.78"
"132","1","24","3.69"
"133","1","47","3.77"
"134","2","88","3.66"
"135","3","9","3.5"
"136","3","17","3.82"
"137","2","21","3.65"
"138","4","41","3.67"
"139","2","99","3.29"
"140","1","21","3.68"
"141","3","27","3.85"
"142","2","75","3.74"
"143","3","35","3.74"
"144","4","67","3.81"
"145","1","75","3.84"
"146","4","34","4.33"
"147","4","17","4"
"148","2","39","3.72"
"149","4","39","3"
"150","2","95","3.85"
"151","1","45","3.78"
"152","3","87","3.69"
"153","2","55","3.57"
"154","3","64","3.64"
"155","1","38","3.62"
"156","2","45","3.78"
"157","1","4","3.75"
"158","4","97","3.64"
"159","4","46","3.8"
"160","1","87","3.67"
"161","3","21","3.78"
"162","3","47","3.76"
"163","1","85","3.6"
"164","3","80","3.63"
"165","4","85","3.71"
"166","1","53","3.77"
"167","4","19","4"
"168","3","67","3.63"
"169","2","56","3.78"
"170","2","63","3.67"
"171","2","4","3.72"
"172","2","8","3.67"
"173","1","17","3.69"
"174","3","83","3.72"
"175","4","75","3.83"
"176","4","16","4"
"177","3","5","3.86"
"178","4","55","3.5"
"179","4","87","3.56"
"180","1","16","3.79"
"181","4","11","4"
"182","2","64","3.58"
"183","3","100","3.89"
"184","4","81","3.68"
"185","3","16","3.7"
"186","2","77","3.72"
"187","1","55","3.52"
"188","4","86","3.55"
"189","3","86","3.71"
"190","2","16","3.83"
"191","3","81","3.77"
"192","4","80","3.57"
"193","4","54","4.4"
"194","1","60","3.72"
"195","3","99","3.93"
"196","1","50","3.7"
"197","3","46","3.77"
"198","1","88","3.67"
"199","2","20","3.59"
"200","3","20","3.5"
"201","3","56","3.8"
"202","2","1","3.91"
"203","4","47","3.67"
"204","1","80","3.77"
"205","2","76","3.74"
"206","4","45","4"
"207","2","15","3.76"
"208","3","85","3.74"
"209","1","83","3.75"
"210","3","8","3.38"
"211","1","64","3.59"
"212","4","93","3.72"
"213","4","88","3.6"
"214","4","31","4"
